Link,Title,Location,Salary,Summary
https://kr.indeed.com/viewjob?jk=1fd963b87d62d30a,한화시스템/방산 2021년 한화시스템 방산부문 신사업분야 경력사원,성남 분당구,,시스템개발자|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|전자·기계·기술·화학·연구개발>연구원·연구개발>전기·전자|전자·기계... 그래머>C·C++|인터넷·IT·통신·모바일·게임>응용프로그래머> Python
https://kr.indeed.com/viewjob?jk=7c75987c23551795,"new인공지능(AI), Python 외 신입/경력 정규직, 계약직",전라남도,,모바일·게임>빅데이터·AI(인공지능)>인공지능(AI)|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>머신러닝|인터넷·IT·통신·모바일·게임>빅데이터...
https://kr.indeed.com/viewjob?jk=a0dda478567db352,"(주)트윔 개발자(경력직) 빅데이터,영상처리,머신비전/AI 딥러닝",경기도 화성,,"자기주도적으로 진행한 경험 - Python/C/C++ 능통자 - 데이터... RNN 등 딥러닝 이론 및 알고리즘 유경험자 - C/C++, Java, Python/TensorFlow/Caffe 사용가능자 - Matlab/R 분석..."
https://kr.indeed.com/viewjob?jk=f53f70423a1cd729,[무료교육/취업코칭] 2021년 파이썬기반 AI 활용 데이터 분석가 양성과정 교육생,성남 분당구,,통신·모바일·게임>빅데이터·AI(인공지능)>데이터분석|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>머신러닝|인터넷·IT·통신·모바일·게임>빅데이터...
https://kr.indeed.com/viewjob?jk=e11fdb620460d7c6,new2021년 국내 석/박사 산학장학생,서울,,"탐색적 분석, 머신러닝 모델링 등의 다양한 데이터 분석 및 결과를 바탕으로 유의미한 인사이트 발굴 - R, Python, SQL 등 Statistics, Machine Learning, Deep Learning 도구 활용..."
https://kr.indeed.com/viewjob?jk=fc703d3a5245510a,new2021년 하반기 신입 공개,대한민국,,"코딩 가능자 우대) · 파생상품 및 구조화상품의 운용 및 관리 (금융공학 전공자 및 C++, VBA, Python 사용 가능자 우대) • 리서치 · 탑다운 관점의 자산배분 분석, 퀀트 · 산업/기업 분석자료의 생산 (제약..."
https://kr.indeed.com/viewjob?jk=71dd0cc7756b6a5a,new노무현재단 서울사무처 ( 경력직 ),서울 마포구,,프론트엔드|인터넷·IT·통신·모바일·게임>웹프로그래머>백엔드|인터넷·IT·통신·모바일·게임>웹프로그래머> Python|인터넷·IT·통신·모바일·게임>웹디자인>웹UI|인터넷·IT·통신·모바일·게임>웹디자인>Sketch|인터넷...
https://kr.indeed.com/viewjob?jk=79b0a7b5d7be505d,[아이콘트롤스] 2021년 하반기 경력사원 모집,서울특별시,,"Spring, node.js, python 프레임워크를 활용한 서버 개발... 전공 무관 ㆍ총경력 : 4년 이상~8년 이하 ㆍ Python 개발 경력 4년 이상 - Python 서버 (Backend) 개발 경력 4년 이상 - 웹..."
https://kr.indeed.com/viewjob?jk=04cc1bb8aeb0b28d,자동차 전장 ADAS 카메라 알고리즘 SW 개발 전문가,서울특별시,,"Camera calibration, multi-view geometry - 중급 이상 C/C++/ Python 개발 및 computer vision관련 tool 활용 가능 - Tensorflow/Pytorch/Caffe 등의..."
https://kr.indeed.com/viewjob?jk=3e1b8e1243910f18,neweBeam System Engineer for R&D Extension Korea,경기도 화성,,"organizations Capability & programing experience with MATLAB, Python, etc. Qualifications Education: Bachelor's Degree..."
